Institution,Country,AC,FC
"Chinese Academy of Sciences (CAS)",China,5832,1904.5729879853
"Harvard University","United States of America (USA)",2552,930.78011696141
"Max Planck Society",Germany,2680,777.15553729457
"French National Centre for Scientific Research (CNRS)",France,4438,723.72292107536
"Stanford University","United States of America (USA)",1686,652.07857979439
"Massachusetts Institute of Technology (MIT)","United States of America (USA)",1839,541.38117502414
"Helmholtz Association of German Research Centres",Germany,2398,535.23723744047
"University of Science and Technology of China (USTC)",China,1319,486.3801997229
"The University of Tokyo (UTokyo)",Japan,1307,468.80046631602
"Peking University (PKU)",China,1653,455.66986921073
"University of Oxford","United Kingdom (UK)",1388,454.21813523221
"University of Cambridge","United Kingdom (UK)",1396,450.85613699482
"University of Chinese Academy of Sciences (UCAS)",China,2449,422.48488819455
"Nanjing University (NJU)",China,1043,416.77797346488
"Tsinghua University",China,1401,416.29865150691
"National Institutes of Health (NIH)","United States of America (USA)",1060,412.71673749679
"University of California, Berkeley (UC Berkeley)","United States of America (USA)",1286,406.47589206137
"Swiss Federal Institute of Technology Zurich (ETH Zurich)",Switzerland,1048,392.57671087868
"University of Michigan (U-M)","United States of America (USA)",979,386.12518171
"Yale University","United States of America (USA)",976,354.88572351397
"University of California, San Diego (UC San Diego)","United States of America (USA)",1017,354.09961926096
"Northwestern University (NU)","United States of America (USA)",784,345.94488841843
"Zhejiang University (ZJU)",China,849,343.83050047075
"University of Toronto (U of T)",Canada,945,342.99038079303
"University of California, Los Angeles (UCLA)","United States of America (USA)",1087,323.32460652
"Columbia University in the City of New York (CU)","United States of America (USA)",1004,315.34268827896
"Cornell University","United States of America (USA)",1007,314.48300539964
"University of Pennsylvania (Penn)","United States of America (USA)",855,303.25955098599
"Shanghai Jiao Tong University (SJTU)",China,869,301.08144668789
"California Institute of Technology (Caltech)","United States of America (USA)",886,296.24287440318
"Johns Hopkins University (JHU)","United States of America (USA)",920,292.39042556309
"National University of Singapore (NUS)",Singapore,838,289.86580623833
"University of Washington (UW)","United States of America (USA)",954,285.6400432507
"Fudan University",China,766,279.9299403135
"Sun Yat-sen University (SYSU)",China,699,274.49802880154
"Swiss Federal Institute of Technology Lausanne (EPFL)",Switzerland,650,272.20418125384
"Princeton University","United States of America (USA)",728,269.47573554862
"Kyoto University",Japan,711,268.92800948545
"The University of Texas at Austin (UT Austin)","United States of America (USA)",711,259.09056359093
"The University of Chicago (UChicago)","United States of America (USA)",719,251.52072637398
"Nankai University (NKU)",China,605,248.54657268195
"Nanyang Technological University (NTU)",Singapore,629,239.45847549476
"Imperial College London (ICL)","United Kingdom (UK)",917,237.41699829449
"University of Illinois at Urbana-Champaign (UIUC)","United States of America (USA)",592,231.10137878849
"Sichuan University (SCU)",China,420,229.23905844061
"University of California, San Francisco (UCSF)","United States of America (USA)",674,227.37080346238
"Wuhan University (WHU)",China,522,224.1840447434
"Duke University","United States of America (USA)",716,222.04795267054
"Russian Academy of Sciences (RAS)",Russia,907,219.63600379321
"Washington University in St. Louis (WUSTL)","United States of America (USA)",548,218.93704205448
"University of California, Santa Barbara (UCSB)","United States of America (USA)",618,213.91844702954
"University of Wisconsin-Madison (UW-Madison)","United States of America (USA)",603,213.0988546297
"Spanish National Research Council (CSIC)",Spain,1218,209.70032539078
"The Pennsylvania State University (Penn State)","United States of America (USA)",556,209.52292777962
"Soochow University",China,432,208.38261270861
"University of Minnesota (UMN)","United States of America (USA)",637,206.81209162578
"Leibniz Association",Germany,901,203.64582380064
"New York University (NYU)","United States of America (USA)",642,200.08911312352
UCL,"United Kingdom (UK)",853,193.6330113526
"Southern University of Science and Technology (SUSTech)",China,541,193.36416233132
"University of California, Davis (UC Davis)","United States of America (USA)",581,190.75502484611
"Osaka University",Japan,514,189.92566199516
"Jilin University (JLU)",China,428,187.66420217382
"Seoul National University (SNU)","South Korea",529,187.2016276684
"Xiamen University (XMU)",China,386,185.5998413394
"Texas A&M University (TAMU)","United States of America (USA)",512,180.53601551486
"Huazhong University of Science and Technology (HUST)",China,473,179.15619528478
"The University of North Carolina at Chapel Hill (UNC)","United States of America (USA)",511,175.21842127548
"McGill University",Canada,580,174.51438870038
"Ludwig Maximilians University of Munich (LMU)",Germany,648,172.25062196054
"Weizmann Institute of Science (WIS)",Israel,430,170.62077607248
"Technical University of Munich (TUM)",Germany,603,169.27500794745
"Tianjin University (TJU)",China,657,169.24088154655
"Lawrence Berkeley National Laboratory (LBNL)","United States of America (USA)",872,168.22804284315
"University of Colorado Boulder (CU-Boulder)","United States of America (USA)",628,167.08537866376
"Korea Advanced Institute of Science and Technology (KAIST)","South Korea",383,166.9288561263
"University of Maryland, College Park (UMCP)","United States of America (USA)",675,166.63607872969
"The Ohio State University (OSU)","United States of America (USA)",562,159.07826442297
"University of Pittsburgh (Pitt)","United States of America (USA)",500,158.14240956757
"University of Copenhagen (UCPH)",Denmark,632,157.33970690422
"The University of Queensland (UQ)",Australia,506,156.24630719917
"Georgia Institute of Technology (Georgia Tech)","United States of America (USA)",450,156.05473050094
"University of California, Irvine (UCI)","United States of America (USA)",469,155.24469001409
"Tohoku University",Japan,468,154.35285111294
"The University of Manchester (UoM)","United Kingdom (UK)",536,153.66224472537
RIKEN,Japan,646,150.47468769106
"The University of Edinburgh","United Kingdom (UK)",677,150.32037286472
"East China Normal University (ECNU)",China,338,149.40347873631
"The University of British Columbia (UBC)",Canada,518,148.934968233
"University of New South Wales (UNSW Sydney)",Australia,510,147.83865774349
"The University of Texas Southwestern Medical Center (UT Southwestern Medical Center)","United States of America (USA)",310,147.0809836024
"Hunan University (HNU)",China,298,145.37510304742
"National Institute for Nuclear Physics (INFN)",Italy,708,144.86064887333
"Nagoya University",Japan,425,144.03563327971
"Purdue University","United States of America (USA)",419,143.97176032632
"University of Bristol (UoB)","United Kingdom (UK)",461,143.92708896827
"University of Münster (WWU)",Germany,369,143.84523372673
"Tokyo Institute of Technology (Tokyo Tech)",Japan,388,139.09411976024
"Heidelberg University (Uni Heidelberg)",Germany,614,137.17696643717
"Tongji University",China,415,133.67520945574
