year	bottom_CI	top_CI	mean	name_origin	label	corpus
2009	0.309332203868417	0.327544825638854	0.318359875758859	European	NA	quote
2011	0.307052663997536	0.32630890052356	0.316457807206652	European	NA	quote
2020	0.308870116156283	0.333962513199578	0.321449577613516	European	European	quote
2007	0.295758183032732	0.316299265197061	0.305926352705411	European	NA	quote
2010	0.303392932563705	0.322962128678023	0.313230043643531	European	NA	quote
2019	0.332992327365729	0.358567774936061	0.345575191815857	European	NA	quote
2005	0.280470420527441	0.300436564504633	0.29071364932288	European	NA	quote
2012	0.304745662168174	0.322415838647486	0.313550793415394	European	NA	quote
2014	0.317807066741447	0.338754907459338	0.328390540287904	European	NA	quote
2013	0.315853658536585	0.336274001037883	0.326143573776163	European	NA	quote
2017	0.323208353108685	0.345526815377314	0.334430707166588	European	NA	quote
2006	0.297474922172259	0.317537184365272	0.307264787270841	European	NA	quote
2016	0.308465156049594	0.331135100470286	0.319870457460453	European	NA	quote
2018	0.303596450256889	0.327662307333022	0.315606959364783	European	NA	quote
2008	0.305258110915774	0.325395556976187	0.31553651909861	European	NA	quote
2015	0.31095266389384	0.332144979203803	0.321643097643098	European	NA	quote
2009	0.072003388394748	0.0820273895242129	0.0768345333898066	EastAsian	NA	quote
2011	0.0612873421619957	0.0711425931629196	0.0660674468740376	EastAsian	NA	quote
2020	0.0670538542766631	0.0818373812038015	0.0743524287222809	EastAsian	EastAsian	quote
2007	0.0489311957247829	0.0582832331329325	0.0537578490313961	EastAsian	NA	quote
2010	0.051949880332254	0.0609601576798536	0.0563278896241025	EastAsian	NA	quote
2019	0.0636828644501279	0.0772378516624041	0.0704941176470588	EastAsian	NA	quote
2005	0.0621792587312901	0.0721756949394155	0.0672070563079116	EastAsian	NA	quote
2012	0.0673290820109743	0.0777176331009936	0.0725448613376835	EastAsian	NA	quote
2014	0.0686109553187512	0.0807627593942793	0.0745943166947093	EastAsian	NA	quote
2013	0.0595052759038229	0.0702300640027677	0.0647732226258433	EastAsian	NA	quote
2017	0.0643094447081158	0.0768865685809207	0.0702940199335548	EastAsian	NA	quote
2006	0.0458318920788654	0.0555171221030785	0.0506381874783812	EastAsian	NA	quote
2016	0.0598546387345019	0.0716117999144934	0.0659442069260368	EastAsian	NA	quote
2018	0.0653900046707146	0.0780009341429239	0.0716184026156002	EastAsian	NA	quote
2008	0.0458686271376059	0.0551382451654147	0.0504864951254595	EastAsian	NA	quote
2015	0.0536739948504654	0.0645672410378293	0.0592311348781937	EastAsian	NA	quote
2009	0.0278130735564027	0.0347310461668784	0.0311578427220104	SouthAsian	NA	quote
2011	0.0189405605174007	0.0246381275023098	0.0218206036341238	SouthAsian	NA	quote
2020	0.0356388595564942	0.045934530095037	0.0404907602956705	SouthAsian	SouthAsian	quote
2007	0.0270541082164329	0.0345691382765531	0.0307932531730127	SouthAsian	NA	quote
2010	0.0232296212867802	0.029424186963255	0.026207799521329	SouthAsian	NA	quote
2019	0.0329923273657289	0.0424552429667519	0.0377705882352941	SouthAsian	NA	quote
2005	0.023155737704918	0.0301140413399857	0.0266751603706344	SouthAsian	NA	quote
2012	0.0336645410054872	0.0413836571259083	0.0373983390182411	SouthAsian	NA	quote
2014	0.0226210506636755	0.0300990839409235	0.026247335950645	SouthAsian	NA	quote
2013	0.0224874589171424	0.0292336965922851	0.0260102058467393	SouthAsian	NA	quote
2017	0.0223065970574276	0.0301495016611296	0.0261352634076887	SouthAsian	NA	quote
2006	0.0226565202352127	0.0297474922172259	0.0260549982704946	SouthAsian	NA	quote
2016	0.0280034202650705	0.036340316374519	0.0322753313381787	SouthAsian	NA	quote
2018	0.0427370387669313	0.0539467538533396	0.0481823914058851	SouthAsian	NA	quote
2008	0.0225347610676043	0.0294070640882212	0.025972670608918	SouthAsian	NA	quote
2015	0.0249554367201426	0.0330758566052684	0.0289126559714795	SouthAsian	NA	quote
2009	0.0244246788084145	0.0312014683043908	0.0278014965410137	ArabTurkPers	NA	quote
2011	0.0210886972590083	0.0271019402525408	0.0240084693563289	ArabTurkPers	NA	quote
2020	0.0266631467793031	0.0359028511087645	0.0311549630411827	ArabTurkPers	ArabTurkPers	quote
2007	0.0205410821643287	0.0267201068804275	0.02362291249165	ArabTurkPers	NA	quote
2010	0.0145009151062931	0.0195691961143179	0.0171119245389272	ArabTurkPers	NA	quote
2019	0.0278772378516624	0.0375959079283887	0.0324002557544757	ArabTurkPers	NA	quote
