author	doi	year	author_pos	file_id	guessed_gender	gender
aaron	doi:10.1038/444553a	2006	NA	444553a	MALE	MALE
aaron	doi:10.1038/d41586-018-07141-2	2018	NA	d41586-018-07141-2	MALE	MALE
aaron	doi:10.1038/498443a	2013	NA	498443a	MALE	MALE
aaron	doi:10.1038/d41586-018-00488-6	2018	NA	d41586-018-00488-6	MALE	MALE
aaron	doi:10.1038/nature23092	2017	NA	nature23092	MALE	MALE
aaron	doi:10.1038/nature17319	2016	NA	nature17319	MALE	MALE
aaron	doi:10.1038/454420a	2008	NA	454420a	MALE	MALE
aaron	doi:10.1038/nature13226	2014	NA	nature13226	MALE	MALE
aaron	doi:10.1038/d41586-020-02382-6	2020	NA	d41586-020-02382-6	MALE	MALE
aaron	doi:10.1038/nature14537	2015	NA	nature14537	MALE	MALE
aaron	doi:10.1038/473459a	2011	NA	473459a	MALE	MALE
abbott	doi:10.1038/news.2008.970.html	2008	NA	news.2008.970.html	MALE	MALE
abdelrahman	doi:10.1038/d41586-020-01618-9	2020	NA	d41586-020-01618-9	MALE	MALE
abdullah	doi:10.1038/d41586-019-01879-z	2019	NA	d41586-019-01879-z	MALE	MALE
abdullahi	doi:10.1038/d41586-020-01606-z	2020	NA	d41586-020-01606-z	MALE	MALE
abhishek	doi:10.1038/nature16316	2015	NA	nature16316	MALE	MALE
abigail	doi:10.1038/496038a	2013	NA	496038a	FEMALE	FEMALE
abigail	doi:10.1038/nature22504	2017	NA	nature22504	FEMALE	FEMALE
abigail	doi:10.1038/nature19429	2016	NA	nature19429	FEMALE	FEMALE
abraham	doi:10.1038/468772b	2010	NA	468772b	MALE	MALE
achim	doi:10.1038/050117-14.html	2005	NA	050117-14.html	MALE	MALE
achim	doi:10.1038/465880a	2010	NA	465880a	MALE	MALE
ada	doi:10.1038/444435a	2006	NA	444435a	FEMALE	FEMALE
adam	doi:10.1038/442752a	2006	NA	442752a	MALE	MALE
adam	doi:10.1038/puzzle-of-moon-s-origin-resolved-1.17279	2015	NA	puzzle-of-moon-s-origin-resolved-1.17279	MALE	MALE
adam	doi:10.1038/434833a	2005	NA	434833a	MALE	MALE
adam	doi:10.1038/news.2011.68.html	2011	NA	news.2011.68.html	MALE	MALE
adam	doi:10.1038/471433a.html	2011	NA	471433a.html	MALE	MALE
adam	doi:10.1038/525195a	2015	NA	525195a	MALE	MALE
adam	doi:10.1038/467143a.html	2010	NA	467143a.html	MALE	MALE
adam	doi:10.1038/460582a	2009	NA	460582a	MALE	MALE
adam	doi:10.1038/news.2010.614.html	2010	NA	news.2010.614.html	MALE	MALE
adam	doi:10.1038/475280a.html	2011	NA	475280a.html	MALE	MALE
adam	doi:10.1038/light-sensitive-e-coli-paint-a-colourful-picture-1.22026	2017	NA	light-sensitive-e-coli-paint-a-colourful-picture-1.22026	MALE	MALE
adam	doi:10.1038/d41586-019-01596-7	2019	NA	d41586-019-01596-7	MALE	MALE
adam	doi:10.1038/news.2010.461.html	2010	NA	news.2010.461.html	MALE	MALE
adam	doi:10.1038/472177a	2011	NA	472177a	MALE	MALE
adam	doi:10.1038/nature12548	2013	NA	nature12548	MALE	MALE
adam	doi:10.1038/517274a	2015	NA	517274a	MALE	MALE
adam	doi:10.1038/nature21102	2016	NA	nature21102	MALE	MALE
adam	doi:10.1038/462862a	2009	NA	462862a	MALE	MALE
adam	doi:10.1038/publishing-the-peer-review-scam-1.16400	2014	NA	publishing-the-peer-review-scam-1.16400	MALE	MALE
adam	doi:10.1038/nature23089	2017	NA	nature23089	MALE	MALE
adam	doi:10.1038/news.2011.261.html	2011	NA	news.2011.261.html	MALE	MALE
adam	doi:10.1038/news.2010.548.html	2010	NA	news.2010.548.html	MALE	MALE
adam	doi:10.1038/d41586-020-00590-8	2020	NA	d41586-020-00590-8	MALE	MALE
adam	doi:10.1038/467508a.html	2010	NA	467508a.html	MALE	MALE
adam	doi:10.1038/447536a	2007	NA	447536a	MALE	MALE
adam	doi:10.1038/what-to-expect-from-the-pluto-fly-by-1.17948	2015	NA	what-to-expect-from-the-pluto-fly-by-1.17948	MALE	MALE
adam	doi:10.1038/news.2011.142.html	2011	NA	news.2011.142.html	MALE	MALE
adam	doi:10.1038/d41586-020-00329-5	2020	NA	d41586-020-00329-5	MALE	MALE
adam	doi:10.1038/transgenic-zebrafish-forms-technicolour-skinbow-1.19615	2016	NA	transgenic-zebrafish-forms-technicolour-skinbow-1.19615	MALE	MALE
adam	doi:10.1038/445827a	2007	NA	445827a	MALE	MALE
adam	doi:10.1038/4671013a.html	2010	NA	4671013a.html	MALE	MALE
adam	doi:10.1038/4681014a.html	2010	NA	4681014a.html	MALE	MALE
adam	doi:10.1038/horse-sized-dinosaur-sheds-light-on-t-rex-s-origins-1.19555	2016	NA	horse-sized-dinosaur-sheds-light-on-t-rex-s-origins-1.19555	MALE	MALE
adam	doi:10.1038/d41586-018-07270-8	2018	NA	d41586-018-07270-8	MALE	MALE
adam	doi:10.1038/nature14198	2015	NA	nature14198	MALE	MALE
adam	doi:10.1038/452296a	2008	NA	452296a	MALE	MALE
adam	doi:10.1038/533330a	2016	NA	533330a	MALE	MALE
adam	doi:10.1038/d41586-019-03061-x	2019	NA	d41586-019-03061-x	MALE	MALE
adam	doi:10.1038/d41586-019-00123-y	2019	NA	d41586-019-00123-y	MALE	MALE
adam	doi:10.1038/469012a.html	2010	NA	469012a.html	MALE	MALE
adam	doi:10.1038/459919a	2009	NA	459919a	MALE	MALE
adam	doi:10.1038/d41586-018-05044-w	2018	NA	d41586-018-05044-w	MALE	MALE
adam	doi:10.1038/d41586-018-01074-6	2018	NA	d41586-018-01074-6	MALE	MALE
adam	doi:10.1038/d41586-019-01543-6	2019	NA	d41586-019-01543-6	MALE	MALE
adam	doi:10.1038/news.2010.410.html	2010	NA	news.2010.410.html	MALE	MALE
adam	doi:10.1038/d41586-018-06675-9	2018	NA	d41586-018-06675-9	MALE	MALE
adam	doi:10.1038/468610a.html	2010	NA	468610a.html	MALE	MALE
adam	doi:10.1038/471146a.html	2011	NA	471146a.html	MALE	MALE
adam	doi:10.1038/d41586-018-05866-8	2018	NA	d41586-018-05866-8	MALE	MALE
adam	doi:10.1038/news.2010.558.html	2010	NA	news.2010.558.html	MALE	MALE
adam	doi:10.1038/468353a.html	2010	NA	468353a.html	MALE	MALE
adam	doi:10.1038/505625a	2014	NA	505625a	MALE	MALE
adam	doi:10.1038/467763a.html	2010	NA	467763a.html	MALE	MALE
adam	doi:10.1038/d41586-020-00219-w	2020	NA	d41586-020-00219-w	MALE	MALE
adam	doi:10.1038/447155a	2007	NA	447155a	MALE	MALE
adam	doi:10.1038/news.2010.517.html	2010	NA	news.2010.517.html	MALE	MALE
adam	doi:10.1038/469451a.html	2011	NA	469451a.html	MALE	MALE
adam	doi:10.1038/news.2010.423.html	2010	NA	news.2010.423.html	MALE	MALE
adam	doi:10.1038/469143a.html	2011	NA	469143a.html	MALE	MALE
adam	doi:10.1038/466673a.html	2010	NA	466673a.html	MALE	MALE
adam	doi:10.1038/470313a.html	2011	NA	470313a.html	MALE	MALE
adam	doi:10.1038/472016a.html	2011	NA	472016a.html	MALE	MALE
adam	doi:10.1038/nature20482	2016	NA	nature20482	MALE	MALE
adam	doi:10.1038/469013a.html	2010	NA	469013a.html	MALE	MALE
adam	doi:10.1038/d41586-019-02008-6	2019	NA	d41586-019-02008-6	MALE	MALE
adam	doi:10.1038/the-power-of-prediction-markets-1.20820	2016	NA	the-power-of-prediction-markets-1.20820	MALE	MALE
adam	doi:10.1038/news.2011.47.html	2011	NA	news.2011.47.html	MALE	MALE
adam	doi:10.1038/466910a.html	2010	NA	466910a.html	MALE	MALE
adam	doi:10.1038/ostrich-penis-clears-up-evolutionary-mystery-1.9600	2011	NA	ostrich-penis-clears-up-evolutionary-mystery-1.9600	MALE	MALE
adán	doi:10.1038/474456a	2011	NA	474456a	NA	NA
adelaida	doi:10.1038/d41586-020-00322-y	2020	NA	d41586-020-00322-y	FEMALE	FEMALE
adele	doi:10.1038/538466a	2016	NA	538466a	FEMALE	FEMALE
adeline	doi:10.1038/d41586-020-01826-3	2020	NA	d41586-020-01826-3	FEMALE	FEMALE
adeline	doi:10.1038/501170a	2013	NA	501170a	FEMALE	FEMALE
adi	doi:10.1038/437962a	2005	NA	437962a	MALE	MALE
aditi	doi:10.1038/d41586-018-03440-w	2018	NA	d41586-018-03440-w	FEMALE	FEMALE
aditya	doi:10.1038/nature19425	2016	NA	nature19425	MALE	MALE
adolfo	doi:10.1038/nature11947	2013	NA	nature11947	MALE	MALE
adrian	doi:10.1038/d41586-018-04606-2	2018	NA	d41586-018-04606-2	MALE	MALE
adrian	doi:10.1038/456331a	2008	NA	456331a	MALE	MALE
adrian	doi:10.1038/532040a	2016	NA	532040a	MALE	MALE
adrian	doi:10.1038/d41586-019-03335-4	2019	NA	d41586-019-03335-4	MALE	MALE
adrian	doi:10.1038/nature24143	2017	NA	nature24143	MALE	MALE
adrian	doi:10.1038/474289a	2011	NA	474289a	MALE	MALE
adrian	doi:10.1038/511538a	2014	NA	511538a	MALE	MALE
adrian	doi:10.1038/537493a	2016	NA	537493a	MALE	MALE
adrian	doi:10.1038/d41586-019-03555-8	2019	NA	d41586-019-03555-8	MALE	MALE
adrian	doi:10.1038/481154a	2012	NA	481154a	MALE	MALE
adrian	doi:10.1038/463891a	2010	NA	463891a	MALE	MALE
adriana	doi:10.1038/d41586-020-03636-z	2020	NA	d41586-020-03636-z	FEMALE	FEMALE
adrianne	doi:10.1038/437462a	2005	NA	437462a	FEMALE	FEMALE
adrianne	doi:10.1038/health-sector-opens-purse-for-us-election-1.11729	2012	NA	health-sector-opens-purse-for-us-election-1.11729	FEMALE	FEMALE
adriano	doi:10.1038/512032a	2014	NA	512032a	MALE	MALE
adriano	doi:10.1038/459924a	2009	NA	459924a	MALE	MALE
adrien	doi:10.1038/d41586-018-05909-0	2018	NA	d41586-018-05909-0	MALE	MALE
aephraim	doi:10.1038/463890a	2010	NA	463890a	MALE	MALE
agata	doi:10.1038/d41586-018-05925-0	2018	NA	d41586-018-05925-0	FEMALE	FEMALE
agnieszka	doi:10.1038/nature21892	2017	NA	nature21892	FEMALE	FEMALE
aharon	doi:10.1038/488285a	2012	NA	488285a	MALE	MALE
aida	doi:10.1038/534188a	2016	NA	534188a	FEMALE	FEMALE
aida	doi:10.1038/530425a	2016	NA	530425a	FEMALE	FEMALE
aigen	doi:10.1038/459173a	2009	NA	459173a	MALE	MALE
aimable	doi:10.1038/474556a.html	2011	NA	474556a.html	MALE	MALE
aiman	doi:10.1038/nature16865	2016	NA	nature16865	MALE	MALE
aimée	doi:10.1038/d41586-018-05366-9	2018	NA	d41586-018-05366-9	FEMALE	FEMALE
aisling	doi:10.1038/d41586-018-07106-5	2018	NA	d41586-018-07106-5	FEMALE	FEMALE
aisling	doi:10.1038/d41586-020-03045-2	2020	NA	d41586-020-03045-2	FEMALE	FEMALE
aisling	doi:10.1038/d41586-018-00665-7	2018	NA	d41586-018-00665-7	FEMALE	FEMALE
aisling	doi:10.1038/d41586-018-07570-z	2018	NA	d41586-018-07570-z	FEMALE	FEMALE
aisling	doi:10.1038/d41586-018-07519-2	2018	NA	d41586-018-07519-2	FEMALE	FEMALE
aisling	doi:10.1038/d41586-019-02846-4	2019	NA	d41586-019-02846-4	FEMALE	FEMALE
aisling	doi:10.1038/d41586-019-01035-7	2019	NA	d41586-019-01035-7	FEMALE	FEMALE
aisling	doi:10.1038/d41586-020-02672-z	2020	NA	d41586-020-02672-z	FEMALE	FEMALE
ajit	doi:10.1038/d41586-019-00704-x	2019	NA	d41586-019-00704-x	MALE	MALE
aki	doi:10.1038/514440a	2014	NA	514440a	MALE	MALE
aki	doi:10.1038/489038a	2012	NA	489038a	MALE	MALE
akihiko	doi:10.1038/nature14521	2015	NA	nature14521	MALE	MALE
akiko	doi:10.1038/d41586-020-03070-1	2020	NA	d41586-020-03070-1	FEMALE	FEMALE
akira	doi:10.1038/452298a	2008	NA	452298a	MALE	MALE
alain	doi:10.1038/505621a	2014	NA	505621a	MALE	MALE
alain	doi:10.1038/nature12545	2013	NA	nature12545	MALE	MALE
alain	doi:10.1038/nature13344	2014	NA	nature13344	MALE	MALE
alain	doi:10.1038/446866a	2007	NA	446866a	MALE	MALE
alain	doi:10.1038/439405a	2006	NA	439405a	MALE	MALE
alan	doi:10.1038/482167a	2012	NA	482167a	MALE	MALE
alan	doi:10.1038/466703a	2010	NA	466703a	MALE	MALE
alan	doi:10.1038/d41586-019-00393-6	2019	NA	d41586-019-00393-6	MALE	MALE
alan	doi:10.1038/nature15648	2015	NA	nature15648	MALE	MALE
alan	doi:10.1038/d41586-019-03603-3	2019	NA	d41586-019-03603-3	MALE	MALE
alan	doi:10.1038/nature21118	2017	NA	nature21118	MALE	MALE
alan	doi:10.1038/450807a	2007	NA	450807a	MALE	MALE
