query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
uk	gb	Europe	Northern Europe	FALSE	1201	2021-02-03	258411454	relation	United Kingdom	boundary	administrative	0.872378013283733	United Kingdom	TRUE
us	us	Americas	Northern America	FALSE	1173	2021-02-03	257984054	relation	United States	boundary	administrative	0.935691367457589	United States	TRUE
california	us	Americas	Northern America	FALSE	1068	2021-02-03	258350986	relation	California, United States	boundary	administrative	0.912136384157707	United States	TRUE
united states	us	Americas	Northern America	FALSE	1060	2021-02-03	257984054	relation	United States	boundary	administrative	1.13569136745759	United States	TRUE
massachusetts	us	Americas	Northern America	FALSE	770	2021-02-03	258278823	relation	Massachusetts, United States	boundary	administrative	0.836449761303479	United States	TRUE
germany	de	Europe	Western Europe	FALSE	697	2021-02-03	257692299	relation	Deutschland	boundary	administrative	0.889681489172255	Deutschland	TRUE
china	cn	Asia	Eastern Asia	FALSE	674	2021-02-03	257605389	relation	ä¸­å›½	boundary	administrative	0.87882659637803	ä¸­å›½	TRUE
maryland	us	Americas	Northern America	FALSE	528	2021-02-03	258170637	relation	Maryland, United States	boundary	administrative	0.824620353023131	United States	TRUE
nasa	us	Americas	Northern America	FALSE	524	2021-02-03	99133114	way	Lyndon B. Johnson Space Center, 2101, NASA Parkway, Houston, Harris County, Texas, 77058, United States	tourism	attraction	0.618056742388072	United States	TRUE
canada	ca	Americas	Northern America	FALSE	513	2021-02-03	258158704	relation	Canada	boundary	administrative	0.966125910965408	Canada	TRUE
new york	us	Americas	Northern America	FALSE	479	2021-02-03	258355858	relation	New York, United States	boundary	administrative	1.01757661145185	United States	TRUE
australia	au	Oceania	Australia and New Zealand	FALSE	423	2021-02-03	257740098	relation	Australia	boundary	administrative	0.952135063915111	Australia	TRUE
japan	jp	Asia	Eastern Asia	FALSE	406	2021-02-03	258446007	relation	æ—¥æœ¬	boundary	administrative	0.871013326546246	æ—¥æœ¬	TRUE
university of california	us	Americas	Northern America	FALSE	404	2021-02-03	258416614	relation	University of California, Berkeley, North Street, Panoramic Hill, Berkeley, Alameda County, California, 94720-1076, United States	amenity	university	0.948194378261701	United States	TRUE
united kingdom	gb	Europe	Northern Europe	FALSE	353	2021-02-03	258411454	relation	United Kingdom	boundary	administrative	1.07237801328373	United Kingdom	TRUE
switzerland	ch	Europe	Western Europe	FALSE	344	2021-02-03	257695656	relation	Schweiz/Suisse/Svizzera/Svizra	boundary	administrative	0.826485171575252	Schweiz/Suisse/Svizzera/Svizra	TRUE
france	fr	Europe	Western Europe	FALSE	339	2021-02-03	258401904	relation	France	boundary	administrative	1.01332644373965	France	TRUE
european union	MULTI	Europe	MULTI	TRUE	279	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
netherlands	nl	Europe	Western Europe	FALSE	270	2021-02-03	258635389	relation	Nederland	boundary	administrative	0.829416895369094	Nederland	TRUE
italy	it	Europe	Southern Europe	FALSE	262	2021-02-03	258444203	relation	Italia	boundary	administrative	0.883101903144055	Italia	TRUE
congress	NONE	NA	NA	TRUE	258	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
india	in	Asia	Southern Asia	FALSE	254	2021-02-03	298116298	relation	India	boundary	administrative	0.947689135880987	India	TRUE
washington	us	Americas	Northern America	FALSE	240	2021-02-03	259037983	relation	Washington, District of Columbia, United States	boundary	administrative	0.849288898611582	United States	TRUE
america	NONE	NA	NA	TRUE	239	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
us national institutes of health	us	Americas	Northern America	FALSE	230	2021-02-03	102178084	way	National Institutes of Health, Glenwood, Bethesda, Montgomery County, Maryland, United States	landuse	commercial	0.6	United States	TRUE
illinois	us	Americas	Northern America	FALSE	229	2021-02-03	257440201	relation	Illinois, United States	boundary	administrative	0.843803112037364	United States	TRUE
massachusetts institute of technology	us	Americas	Northern America	FALSE	221	2021-02-03	258016252	relation	Massachusetts Institute of Technology, Bishop Allen Drive, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States	amenity	university	1.04674262776464	United States	TRUE
texas	us	Americas	Northern America	FALSE	212	2021-02-03	257418219	relation	Texas, United States	boundary	administrative	0.858052139534058	United States	TRUE
nih	us	Americas	Northern America	TRUE	210	2021-02-03	102178084	way	National Institutes of Health, Glenwood, Bethesda, Montgomery County, Maryland, United States	landuse	commercial	0.6	United States	TRUE
world health organization	MULTI	MULTI	MULTI	TRUE	210	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
new jersey	us	Americas	Northern America	FALSE	207	2021-02-03	257885980	relation	New Jersey, United States	boundary	administrative	0.952055513496666	United States	TRUE
university of oxford	gb	Europe	Northern Europe	FALSE	205	2021-02-03	96249903	way	Oxford University Museum of Natural History, Parks Road, City Centre, Oxford, Oxfordshire, South East, England, OX1 3PW, United Kingdom	tourism	museum	0.690225650640271	United Kingdom	TRUE
european space agency	MULTI	Europe	MULTI	TRUE	204	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
mexico	mx	Americas	Central America	FALSE	194	2021-02-03	257065613	relation	MÃ©xico	boundary	administrative	0.839923932441765	MÃ©xico	TRUE
colorado	us	Americas	Northern America	FALSE	193	2021-02-03	258349416	relation	Colorado, United States	boundary	administrative	0.816010061654908	United States	TRUE
brazil	br	Americas	South America	FALSE	193	2021-02-03	256950327	relation	Brasil	boundary	administrative	0.845577342306117	Brasil	TRUE
united nations	MULTI	MULTI	MULTI	TRUE	188	2021-02-03	159967172	way	United Nations, Taft Avenue, Barangay 670, Fifth District, Manila, First District, Metro Manila, 1000, Luzon	railway	station	0.529847857867275	Luzon	TRUE
harvard university	us	Americas	Northern America	FALSE	187	2021-02-03	258370425	relation	Harvard University, Kingsley Street, North Brighton, Allston, Boston, Suffolk County, Massachusetts, 02134-1420, United States	amenity	university	0.977190722653673	United States	TRUE
eu	MULTI	Europe	MULTI	TRUE	182	2021-02-03	258377753	relation	Eu, Dieppe, Seine-Maritime, Normandie, France mÃ©tropolitaine, 76260, France	boundary	administrative	0.659192634426485	France	TRUE
stanford university	us	Americas	Northern America	FALSE	181	2021-02-03	97833344	way	Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States	amenity	university	0.855492545367418	United States	TRUE
us food and drug administration	us	Americas	Northern America	FALSE	176	2021-02-03	27293848	node	US Food & Drug Administration, 5162, Valleypointe Parkway, Thornecrest, Roanoke County, Virginia, 24019, United States	office	government	0.401	United States	TRUE
russia	ru	Europe	Eastern Europe	FALSE	172	2021-02-03	258410737	relation	Ð Ð¾Ñ<81>Ñ<81>Ð¸Ñ<8f>	boundary	administrative	0.852192362078589	Ð Ð¾Ñ<81>Ñ<81>Ð¸Ñ<8f>	TRUE
university of california, berkeley	us	Americas	Northern America	FALSE	162	2021-02-03	258416614	relation	University of California, Berkeley, North Street, Panoramic Hill, Berkeley, Alameda County, California, 94720-1076, United States	amenity	university	1.0481943782617	United States	TRUE
virginia	us	Americas	Northern America	FALSE	162	2021-02-03	257877023	relation	Virginia, United States	boundary	administrative	0.837428557079075	United States	TRUE
south africa	za	Africa	Southern Africa	FALSE	159	2021-02-03	258310948	relation	South Africa	boundary	administrative	0.982907627703066	South Africa	TRUE
spain	es	Europe	Southern Europe	FALSE	158	2021-02-03	258583824	relation	EspaÃ±a	boundary	administrative	0.865552504518026	EspaÃ±a	TRUE
european commission	MULTI	Europe	MULTI	TRUE	156	2021-02-03	80449876	node	EC, 200, Rue de la Loi - Wetstraat, Quartier europÃ©en - Europese Wijk, Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, RÃ©gion de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, BelgiÃ« / Belgique / Belgien	office	government	0.636019418289309	BelgiÃ« / Belgique / Belgien	TRUE
sweden	se	Europe	Northern Europe	FALSE	152	2021-02-03	257716320	relation	Sverige	boundary	administrative	0.84163245433824	Sverige	TRUE
connecticut	us	Americas	Northern America	FALSE	151	2021-02-03	258171713	relation	Connecticut, United States	boundary	administrative	0.818771933111505	United States	TRUE
britain	gb	Europe	Northern Europe	FALSE	149	2021-02-03	258411454	relation	United Kingdom	boundary	administrative	0.872378013283733	United Kingdom	TRUE
north carolina	us	Americas	Northern America	FALSE	144	2021-02-03	258457663	relation	North Carolina, United States	boundary	administrative	0.920364397898499	United States	TRUE
university of cambridge	gb	Europe	Northern Europe	FALSE	144	2021-02-03	85738792	way	Fitzwilliam Museum, Trumpington Street, Newnham, Cambridge, Cambridgeshire, East of England, England, CB2 1RB, United Kingdom	tourism	museum	0.667686595449203	United Kingdom	TRUE
florida	us	Americas	Northern America	FALSE	142	2021-02-03	257824147	relation	Florida, United States	boundary	administrative	0.851213972798062	United States	TRUE
university of washington	us	Americas	Northern America	FALSE	142	2021-02-03	258779744	relation	University of Washington, Burke-Gilman Trail, University District, Seattle, King County, Washington, 98105, United States	amenity	university	0.898418423079257	United States	TRUE
senate	NONE	NA	NA	TRUE	138	2021-02-03	367209	node	Senate, Jack County, Texas, United States	place	hamlet	0.35	United States	TRUE
pennsylvania	us	Americas	Northern America	FALSE	133	2021-02-03	295875619	relation	Pennsylvania, United States	boundary	administrative	0.857742643241961	United States	TRUE
la	NONE	NA	NA	FALSE	131	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
university college london	gb	Europe	Northern Europe	FALSE	129	2021-02-03	259450693	relation	University College London, Endsleigh Gardens, St Pancras, London Borough of Camden, London, Greater London, England, WC1H 0EB, United Kingdom	amenity	university	0.615434238632773	United Kingdom	TRUE
imperial college london	gb	Europe	Northern Europe	FALSE	128	2021-02-03	301718758	relation	Imperial College London, Exhibition Road, Knightsbridge, City of Westminster, London, Greater London, England, SW7 2AZ, United Kingdom	amenity	university	0.795213557010066	United Kingdom	TRUE
chile	cl	Americas	South America	FALSE	128	2021-02-03	257831844	relation	Chile	boundary	administrative	0.87834210834697	Chile	TRUE
fda	us	Americas	Northern America	TRUE	127	2021-02-03	259031793	relation	FDA, Zone 6, Tchien, Grand Gedeh County, Liberia	boundary	administrative	0.35	Liberia	TRUE
us national science foundation	us	Americas	Northern America	TRUE	122	2021-02-03	189156816	way	National Science Foundation, Vidya Road, Independace Squre, Cinnamon Gardens, Colombo, à¶¶à·ƒà·Šà¶±à·<8f>à·„à·’à¶» à¶´à·…à·<8f>à¶­, 00700, à·<81>à·Šâ€<8d>à¶»à·“ à¶½à¶‚à¶šà·<8f>à·€ à®‡à®²à®™à¯<8d>à®•à¯ˆ	office	research	0.301	à·<81>à·Šâ€<8d>à¶»à·“ à¶½à¶‚à¶šà·<8f>à·€ à®‡à®²à®™à¯<8d>à®•à¯ˆ	TRUE
south korea	kr	Asia	Eastern Asia	FALSE	122	2021-02-03	258235947	relation	ëŒ€í•œë¯¼êµ­	boundary	administrative	0.802419592147396	ëŒ€í•œë¯¼êµ­	TRUE
harvard medical school	us	Americas	Northern America	FALSE	120	2021-02-03	146981708	way	Harvard Medical School, Longwood Avenue, Roxbury, Boston, Suffolk County, Massachusetts, 02120, United States	amenity	university	0.301	United States	TRUE
california institute of technology	us	Americas	Northern America	FALSE	117	2021-02-03	97237039	way	California Institute of Technology, East Del Mar Boulevard, Pasadena, Los Angeles County, California, 91106, United States	amenity	university	0.98591368499579	United States	TRUE
white house	us	Americas	Northern America	FALSE	116	2021-02-03	147370893	way	White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States	historic	castle	0.83472115416811	United States	TRUE
nature	NONE	NA	NA	TRUE	116	2021-02-03	106841545	way	Nature, Woodbury Lane, Woodbury, Irvine, Orange County, California, 92620, United States	highway	residential	0.2	United States	TRUE
hawaii	us	Americas	Northern America	FALSE	108	2021-02-03	258372128	relation	Hawaii, United States	boundary	administrative	0.820432643396309	United States	TRUE
national institutes of health	us	Americas	Northern America	FALSE	108	2021-02-03	102178084	way	National Institutes of Health, Glenwood, Bethesda, Montgomery County, Maryland, United States	landuse	commercial	0.6	United States	TRUE
nsf	us	Americas	Northern America	TRUE	108	2021-02-03	80933809	node	An NiÅŸf, ØºØ¨ÙŠØ´, ÙˆÙ„Ø§ÙŠØ© ØºØ±Ø¨ ÙƒØ±Ø¯Ù<81>Ø§Ù†, Ø§Ù„Ø³ÙˆØ¯Ø§Ù†	place	hamlet	0.25	Ø§Ù„Ø³ÙˆØ¯Ø§Ù†	TRUE
yale university	us	Americas	Northern America	FALSE	108	2021-02-03	258788418	relation	Yale University, West Haven, New Haven County, Connecticut, 06516, United States	amenity	university	0.859636160157988	United States	TRUE
georgia	us	Americas	Northern America	FALSE	107	2021-02-03	258375785	relation	Georgia, United States	boundary	administrative	0.829577897122545	United States	TRUE
cern	MULTI	Europe	MULTI	TRUE	107	2021-02-03	257664292	relation	CERN - Site de Meyrin, Route de Meyrin, PrÃ©vessin, PrÃ©vessin-MoÃ«ns, Gex, Ain, Auvergne-RhÃ´ne-Alpes, France mÃ©tropolitaine, 01280, France	office	research	0.658916271379286	France	TRUE
columbia university	us	Americas	Northern America	FALSE	106	2021-02-03	235180475	way	Columbia University, Reunion Plaza, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, United States	amenity	university	0.872550278643288	United States	TRUE
google	us	Americas	Northern America	FALSE	106	2021-02-03	18812108	node	Google, 355, Main Street, East Cambridge, Cambridge, Middlesex County, Massachusetts, 02142, United States	office	company	0.794935675921029	United States	TRUE
who	MULTI	MULTI	MULTI	TRUE	106	2021-02-03	91298032	way	Organisation Mondiale de la SantÃ©, 20, Avenue Appia, PÃ¢quis, ChambÃ©sy, Pregny-ChambÃ©sy, GenÃ¨ve, 1202, Schweiz/Suisse/Svizzera/Svizra	building	commercial	0.576611286810515	Schweiz/Suisse/Svizzera/Svizra	TRUE
national science foundation	us	Americas	Northern America	TRUE	103	2021-02-03	189156816	way	National Science Foundation, Vidya Road, Independace Squre, Cinnamon Gardens, Colombo, à¶¶à·ƒà·Šà¶±à·<8f>à·„à·’à¶» à¶´à·…à·<8f>à¶­, 00700, à·<81>à·Šâ€<8d>à¶»à·“ à¶½à¶‚à¶šà·<8f>à·€ à®‡à®²à®™à¯<8d>à®•à¯ˆ	office	research	0.301	à·<81>à·Šâ€<8d>à¶»à·“ à¶½à¶‚à¶šà·<8f>à·€ à®‡à®²à®™à¯<8d>à®•à¯ˆ	TRUE
israel	il	Asia	Western Asia	FALSE	100	2021-02-03	258074628	relation	×™×©×¨×<90>×œ	boundary	administrative	0.791602003658504	×™×©×¨×<90>×œ	TRUE
harvard	us	Americas	Northern America	FALSE	98	2021-02-03	258370425	relation	Harvard University, Kingsley Street, North Brighton, Allston, Boston, Suffolk County, Massachusetts, 02134-1420, United States	amenity	university	0.877190722653673	United States	TRUE
new zealand	nz	Oceania	Australia and New Zealand	FALSE	96	2021-02-03	257922775	relation	New Zealand / Aotearoa	boundary	administrative	0.991711172959347	New Zealand / Aotearoa	TRUE
princeton university	us	Americas	Northern America	FALSE	93	2021-02-03	259109522	relation	Princeton University, Brunswick Pike, Penns Neck, Princeton, Mercer County, New Jersey, 08540, United States	amenity	university	0.846017552564293	United States	TRUE
johns hopkins university	us	Americas	Northern America	FALSE	91	2021-02-03	259066232	relation	Johns Hopkins University, 3400, North Charles Street, Charles Village, Baltimore, Maryland, 21218, United States	amenity	university	0.891185823835172	United States	TRUE
norway	no	Europe	Northern Europe	FALSE	91	2021-02-03	258434833	relation	Norge	boundary	administrative	0.814696521978471	Norge	TRUE
noaa	us	Americas	Northern America	TRUE	90	2021-02-03	47618740	node	àº™àº², à»€àº¡àº·àº­àº‡à»€àºŠà»‚àº›àº™, àºªàº°àº«àº§àº±àº™àº™àº°à»€àº‚àº”, àº›àº°à»€àº—àº”àº¥àº²àº§	place	village	0.275	àº›àº°à»€àº—àº”àº¥àº²àº§	TRUE
ohio	us	Americas	Northern America	FALSE	89	2021-02-03	295875618	relation	Ohio, United States	boundary	administrative	0.8407357649767	United States	TRUE
un	MULTI	MULTI	MULTI	TRUE	89	2021-02-03	258337461	relation	Universidad de Navarra, Carretera de la Universidad, Pamplona/IruÃ±a, Navarra - Nafarroa, 31007, EspaÃ±a	amenity	university	0.58086888056666	EspaÃ±a	TRUE
co	co	Americas	South America	FALSE	89	2021-02-03	258355394	relation	Colombia	boundary	administrative	0.879708646936571	Colombia	TRUE
house of representatives	us	Americas	Northern America	TRUE	88	2021-02-03	60617052	node	è¡†è­°é™¢, 1, å›½é<81>“246å<8f>·, æ°¸ç”°ç”º1, æ°¸ç”°ç”º, å<8d>ƒä»£ç”°åŒº, æ<9d>±äº¬éƒ½, 100-0014, æ—¥æœ¬	office	government	0.570873380707553	æ—¥æœ¬	TRUE
cornell university	us	Americas	Northern America	FALSE	86	2021-02-03	259012417	relation	Johnson Museum of Art, 114, Central Avenue, Ithaca, Ithaca Town, Tompkins County, New York, 14853, United States	tourism	museum	0.378680902821112	United States	TRUE
louisiana	us	Americas	Northern America	FALSE	86	2021-02-03	257328554	relation	Louisiana, United States	boundary	administrative	0.813184888367119	United States	TRUE
us environmental protection agency	us	Americas	Northern America	FALSE	82	2021-02-03	258100172	relation	Environmental Protection Agency, Pennsylvania Avenue Northwest, Penn Quarter, Washington, District of Columbia, 20004, United States	office	government	0.301	United States	TRUE
missouri	us	Americas	Northern America	FALSE	81	2021-02-03	258150217	relation	Missouri, United States	boundary	administrative	0.832881344700329	United States	TRUE
university of michigan	us	Americas	Northern America	FALSE	79	2021-02-03	258570054	relation	University of Michigan, 500, South State Street, Ann Arbor, Washtenaw County, Michigan, 48109, United States	amenity	university	0.942114967834941	United States	TRUE
belgium	be	Europe	Western Europe	FALSE	79	2021-02-03	258282932	relation	BelgiÃ« / Belgique / Belgien	boundary	administrative	0.819060552357301	BelgiÃ« / Belgique / Belgien	TRUE
epa	us	Americas	Northern America	TRUE	78	2021-02-03	96252367	way	El Palomar, JosÃ© Bianco, El Palomar, Partido de MorÃ³n, Buenos Aires, 1684, Argentina	aeroway	aerodrome	0.351537799411788	Argentina	TRUE
university of pennsylvania	us	Americas	Northern America	FALSE	78	2021-02-03	258680341	relation	University of Pennsylvania, Market Street, Powelton Village, Philadelphia, Philadelphia County, Pennsylvania, 19139, United States	amenity	university	0.926036457903365	United States	TRUE
national academy of sciences	us	Americas	Northern America	FALSE	75	2021-02-03	106787905	way	National Academy of Sciences, C Street Northwest, Washington, District of Columbia, 20520, United States	office	ngo	1.00593943258948	United States	TRUE
tennessee	us	Americas	Northern America	FALSE	75	2021-02-03	257213963	relation	Tennessee, United States	boundary	administrative	0.820268105343983	United States	TRUE
iran	ir	Asia	Southern Asia	FALSE	74	2021-02-03	258075432	relation	Ø§ÛŒØ±Ø§Ù†	boundary	administrative	0.824702703615226	Ø§ÛŒØ±Ø§Ù†	TRUE
duke university	us	Americas	Northern America	FALSE	72	2021-02-03	259450641	relation	Duke University, 15th Street, 9th Street District, Durham, Durham County, North Carolina, 27705, United States	amenity	university	0.793140337132867	United States	TRUE
indonesia	id	Asia	South-Eastern Asia	FALSE	72	2021-02-03	257918359	relation	Indonesia	boundary	administrative	0.915582040548682	Indonesia	TRUE
facebook	us	Americas	Northern America	TRUE	70	2021-02-03	258236555	way	Facebook, Kawangware, Nairobi, Kenya	landuse	recreation_ground	0.3	Kenya	TRUE
university of chicago	us	Americas	Northern America	FALSE	70	2021-02-03	123843818	way	The University of Chicago, 5801, South Ellis Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States	amenity	university	0.934698313895193	United States	TRUE
esa	MULTI	Europe	MULTI	TRUE	70	2021-02-03	258416750	relation	Yesa, Navarra - Nafarroa, EspaÃ±a	boundary	administrative	0.608906504927631	EspaÃ±a	TRUE
england	gb	Europe	Northern Europe	FALSE	70	2021-02-03	257775513	relation	England, United Kingdom	boundary	administrative	0.938748907051256	United Kingdom	TRUE
denmark	dk	Europe	Northern Europe	FALSE	70	2021-02-03	257253228	relation	Danmark	boundary	administrative	0.806805864691751	Danmark	TRUE
us national oceanic and atmospheric administration	us	Americas	Northern America	FALSE	69	2021-02-03	301086165	way	1839, National Oceanic Atmospheric Administration, San Diego, San Diego County, California, 92101, United States	landuse	industrial	0.6	United States	TRUE
royal society	gb	Europe	Northern Europe	FALSE	68	2021-02-03	3796847	node	The Royal Society, 6-9, Carlton House Terrace, St. James's, Covent Garden, City of Westminster, London, Greater London, England, SW1Y 5AG, United Kingdom	building	yes	0.847225834784319	United Kingdom	TRUE
wellcome trust	gb	Europe	Northern Europe	FALSE	68	2021-02-03	165545925	way	Wellcome Trust, 215, Euston Road, St Pancras, London Borough of Camden, London, Greater London, England, NW1 2BE, United Kingdom	building	yes	0.630084056292374	United Kingdom	TRUE
national oceanic and atmospheric administration	us	Americas	Northern America	FALSE	67	2021-02-03	301086165	way	1839, National Oceanic Atmospheric Administration, San Diego, San Diego County, California, 92101, United States	landuse	industrial	0.6	United States	TRUE
new mexico	us	Americas	Northern America	FALSE	64	2021-02-03	258170453	relation	New Mexico, United States	boundary	administrative	0.915456300696001	United States	TRUE
intergovernmental panel	NONE	NA	NA	FALSE	64	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
kenya	ke	Africa	Eastern Africa	FALSE	64	2021-02-03	258031172	relation	Kenya	boundary	administrative	0.826488598383626	Kenya	TRUE
twitter	us	Americas	Northern America	FALSE	62	2021-02-03	18817852	node	Twitter, 1355, Market Street, Civic Center, San Francisco, San Francisco City and County, California, 94102, United States	office	company	0.798653680040316	United States	TRUE
university of illinois	us	Americas	Northern America	FALSE	62	2021-02-03	24997928	node	Gameday Spirit, 2028, North Prospect Avenue, Champaign, Champaign County, Illinois, 61822, United States	shop	clothes	0.101	United States	TRUE
arizona	us	Americas	Northern America	FALSE	61	2021-02-03	257489274	relation	Arizona, United States	boundary	administrative	0.823799492478004	United States	TRUE
house	NONE	NA	NA	TRUE	61	2021-02-03	258618125	relation	Ø§Ø³ØªØ§Ù† Ù‡Ø±Ù…Ø²Ú¯Ø§Ù†, Ø§ÛŒØ±Ø§Ù†	boundary	administrative	0.571634966054199	Ø§ÛŒØ±Ø§Ù†	TRUE
university of edinburgh	gb	Europe	Northern Europe	FALSE	60	2021-02-03	87886135	way	University of Edinburgh, Windmill Place, Pleasance, Southside, City of Edinburgh, Scotland, EH8 9XQ, United Kingdom	amenity	university	0.900742371444641	United Kingdom	TRUE
alaska	us	Americas	Northern America	FALSE	59	2021-02-03	258358045	relation	Alaska, United States	boundary	administrative	0.821112507250872	United States	TRUE
swiss federal institute of technology	ch	Europe	Western Europe	TRUE	59	2021-02-03	3632573991	Node	ETH Merchandise Store	shop	clothes	NA	Schweiz/Suisse/Svizzera/Svizra	TRUE
oregon	us	Americas	Northern America	FALSE	58	2021-02-03	257496023	relation	Oregon, United States	boundary	administrative	0.824296037464145	United States	TRUE
pennsylvania state university	us	Americas	Northern America	FALSE	58	2021-02-03	147721263	way	Air Quality Learning and Demonstration Center, Air Quality Lane, Ferguson Township, Centre County, Pennsylvania, 16803, United States	tourism	attraction	0.201	United States	TRUE
university of arizona	us	Americas	Northern America	FALSE	58	2021-02-03	117399379	way	University of Arizona, East Polk Street, Central City, Phoenix, Maricopa County, Arizona, 85004, United States	amenity	university	0.301	United States	TRUE
us geological survey	us	Americas	Northern America	FALSE	58	2021-02-03	135946356	way	US Geological Survey, Wilson Avenue, Pasadena, Los Angeles County, California, 91125, United States	building	yes	0.301	United States	TRUE
university of manchester	gb	Europe	Northern Europe	FALSE	57	2021-02-03	122339635	way	Pendulum Hotel, Sackville Street, City Centre, Manchester, Greater Manchester, North West England, England, M1 3BB, United Kingdom	tourism	hotel	0.101	United Kingdom	TRUE
university of wisconsin	us	Americas	Northern America	FALSE	56	2021-02-03	53450184	node	UWRF Fast Copy, 410, South 3rd Street, River Falls, Pierce County, Wisconsin, 54022, United States	shop	copyshop	0.101	United States	TRUE
singapore	sg	Asia	South-Eastern Asia	FALSE	56	2021-02-03	258556513	relation	Singapore	boundary	administrative	0.843276755105906	Singapore	TRUE
american geophysical union	us	Americas	Northern America	FALSE	54	2021-02-03	34377963	node	American Geophysical Union, 2000, Florida Avenue Northwest, Washington, District of Columbia, 20009, United States	office	research	0.765817363739393	United States	TRUE
indiana	us	Americas	Northern America	FALSE	54	2021-02-03	257993413	relation	Indiana, United States	boundary	administrative	0.817836972596621	United States	TRUE
minnesota	us	Americas	Northern America	FALSE	54	2021-02-03	258377215	relation	Minnesota, United States	boundary	administrative	0.831102000252045	United States	TRUE
mit	us	Americas	Northern America	FALSE	54	2021-02-03	258016252	relation	Massachusetts Institute of Technology, Bishop Allen Drive, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States	amenity	university	0.646742627764641	United States	TRUE
us centers for disease control and prevention	us	Americas	Northern America	FALSE	54	2021-02-03	96695743	way	Centers for Disease Control and Prevention Edward R. Roybal Campus, Clifton Heights Lane Northeast, Druid Hills, DeKalb County, Georgia, 1540, United States	office	research	0.701	United States	TRUE
european research council	MULTI	Europe	MULTI	TRUE	54	2021-02-03	73122812	node	ERCEA, 16, Place Charles Rogier - Karel Rogierplein, Saint-Josse-ten-Noode - Sint-Joost-ten-Node, Brussel-Hoofdstad - Bruxelles-Capitale, RÃ©gion de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1210, BelgiÃ« / Belgique / Belgien	office	government	0.429911496965354	BelgiÃ« / Belgique / Belgien	TRUE
argentina	ar	Americas	South America	FALSE	54	2021-02-03	258404994	relation	Argentina	boundary	administrative	0.910104194561691	Argentina	TRUE
american association for the advancement of science	us	Americas	Northern America	FALSE	53	2021-02-03	8123167	node	AAAS / Science, 1200, New York Avenue Northwest, Downtown, Washington, District of Columbia, 20005, United States	tourism	attraction	0.201	United States	TRUE
university of colorado boulder	us	Americas	Northern America	FALSE	53	2021-02-03	103270225	way	Museum of Natural History - Henderson Building, 1030, Broadway, The Hill, Boulder, Boulder County, Colorado, 80802, United States	tourism	museum	0.556321943137092	United States	TRUE
turkey	tr	Asia	Western Asia	FALSE	53	2021-02-03	258445264	relation	TÃ¼rkiye	boundary	administrative	0.812289652418409	TÃ¼rkiye	TRUE
lhc	MULTI	Europe	MULTI	TRUE	53	2021-02-03	208268818	way	LHC, Sai Nagar, Chamundeshwari Nagar, Hubballi, Hubballi taluku, Dharwad district, Karnataka, 580020, India	highway	service	0.175	India	TRUE
university of toronto	ca	Americas	Northern America	FALSE	53	2021-02-03	86595017	way	University of Toronto, Wellesley-Hoskin Cycle Track, Bloor Street Culture Corridor, Universityâ€”Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1C4, Canada	amenity	university	0.905105918866445	Canada	TRUE
arizona state university	us	Americas	Northern America	FALSE	52	2021-02-03	258489814	relation	Arizona State University, East Apache Boulevard, Tempe Junction, Tempe, Maricopa County, Arizona, 85287, United States	amenity	university	0.854736575831137	United States	TRUE
austria	at	Europe	Western Europe	FALSE	52	2021-02-03	257659808	relation	Ã–sterreich	boundary	administrative	0.823043874164126	Ã–sterreich	TRUE
goddard space flight center	us	Americas	Northern America	FALSE	51	2021-02-03	258921089	relation	Goddard Space Flight Center, Greenbelt Road, Brookland, Glenn Dale, Prince George's County, Maryland, 20769, United States	amenity	research_institute	0.900582931635345	United States	TRUE
new york university	us	Americas	Northern America	FALSE	51	2021-02-03	114164826	way	New York University, Waverly Place, Greenwich Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10003, United States	amenity	university	0.934621425344776	United States	TRUE
